"","location","year","tech_jobs","all_jobs","percentage","growth"
"269",90023,2013,328,19857,60.5396341463415,-0.48339351070291
"270",90023,2014,635,19645,30.9370078740157,-0.488979272665702
"271",90023,2015,724,19915,27.5069060773481,-0.11087374094599
"272",90023,2016,496,19572,39.4596774193548,0.434537105278077
"273",90023,2017,541,19028,35.1719038817006,-0.108662153825696
"274",90024,2005,3172,44519,14.0349936948298,NA
"275",90024,2006,3716,45764,12.3153928955867,-0.122522377753299
"276",90024,2007,4059,50775,12.5092387287509,0.0157401257765588
"277",90024,2008,4526,52089,11.5088378258948,-0.0799729643464874
"278",90024,2009,3596,48624,13.5216907675195,0.174896281629386
"279",90024,2010,4050,46690,11.5283950617284,-0.147414679130156
"280",90024,2011,3982,47298,11.8779507785033,0.0303212819220011
"281",90024,2012,3675,47935,13.043537414966,0.0981302800624668
"282",90024,2013,3882,48551,12.5066975785677,-0.0411575341350479
"283",90024,2014,3828,47228,12.337513061651,-0.0135275132267276
"284",90024,2015,4000,47793,11.94825,-0.0315511772677224
"285",90024,2016,3956,47602,12.0328614762386,0.00708149530170687
"286",90024,2017,4100,47867,11.6748780487805,-0.0297504818920293
"287",90025,2005,8409,29528,3.51147579973838,NA
"288",90025,2006,8508,29814,3.50423131170663,-0.00206308926642351
"289",90025,2007,8560,30649,3.58049065420561,0.0217620743939528
"290",90025,2008,8280,31300,3.78019323671498,0.0557752000482949
"291",90025,2009,8905,29023,3.25918023582257,-0.137827081386233
"292",90025,2010,7660,27346,3.56997389033943,0.0953594560683799
"293",90025,2011,7797,28238,3.62164935231499,0.0144750251858716
"294",90025,2012,7638,28723,3.76053940822205,0.0383499456727567
"295",90025,2013,8318,31137,3.74332772301034,-0.00457691925101944
"296",90025,2014,9043,32753,3.62191750525268,-0.0324337666219672
"297",90025,2015,9012,33998,3.77252552152685,0.0415823982892354
"298",90025,2016,8775,35140,4.0045584045584,0.0615059809953626
"299",90025,2017,8831,35657,4.03770807383082,0.0082779837184257
"300",90026,2005,430,5892,13.7023255813953,NA
"301",90026,2006,462,5571,12.0584415584416,-0.119971169360171
"302",90026,2007,475,6337,13.3410526315789,0.106366238698524
"303",90026,2008,548,6406,11.6897810218978,-0.123773712261092
"304",90026,2009,520,5990,11.5192307692308,-0.0145896875525346
"305",90026,2010,580,7248,12.4965517241379,0.0848425536814226
"306",90026,2011,556,7377,13.2679856115108,0.0617317404354663
"307",90026,2012,540,7475,13.8425925925926,0.043307778430457
"308",90026,2013,552,8838,16.0108695652174,0.156638068925404
"309",90026,2014,571,8805,15.4203152364273,-0.0368845880846479
"310",90026,2015,607,9172,15.1103789126853,-0.0200992209945114
"311",90026,2016,595,9747,16.381512605042,0.0841232175382145
"312",90026,2017,513,10240,19.9610136452242,0.218508578937969
"313",90027,2005,3622,21883,6.04168967421314,NA
"314",90027,2006,2683,22215,8.27991054789415,0.370462733833232
"315",90027,2007,2894,21723,7.5062197650311,-0.0934419252946911
"316",90027,2008,2055,21480,10.4525547445255,0.392519147017306
"317",90027,2009,1901,20808,10.9458179905313,0.0471906876416117
