"","GEOID","year","tech","info","prof","per","total"
"258",91046,2005,0,0,0,0,38
"259",91066,2005,0,0,0,0,204
"260",91077,2005,0,0,0,0,24
"261",91101,2005,4557,473,4084,15.84,28762
"262",91102,2005,0,0,0,0,164
"263",91103,2005,791,0,791,9.13,8667
"264",91104,2005,185,41,144,5.65,3275
"265",91105,2005,1208,0,1208,7.27,16614
"266",91106,2005,923,278,645,11.86,7781
"267",91107,2005,2138,955,1183,12.62,16935
"268",91108,2005,233,0,233,7.12,3274
"269",91109,2005,0,0,0,0,13337
"270",91114,2005,0,0,0,0,1
"271",91115,2005,0,0,0,0,22
"272",91116,2005,0,0,0,0,11
"273",91117,2005,0,0,0,0,15
"274",91118,2005,0,0,0,0,1
"275",91125,2005,0,0,0,0,5245
"276",91201,2005,1797,1467,330,14.81,12135
"277",91202,2005,364,16,348,9.72,3745
"278",91203,2005,3639,577,3062,18.84,19318
"279",91204,2005,1083,690,393,7.24,14967
"280",91205,2005,1094,309,785,14.43,7583
"281",91206,2005,656,30,626,7.84,8368
"282",91207,2005,113,5,108,14.3,790
"283",91208,2005,191,25,166,4.35,4390
"284",91209,2005,0,0,0,0,845
"285",91210,2005,199,0,199,4.79,4152
"286",91214,2005,291,102,189,6.77,4297
"287",91221,2005,0,0,0,0,695
"288",91222,2005,0,0,0,0,9
"289",91224,2005,0,0,0,0,18
"290",91225,2005,0,0,0,0,163
"291",91226,2005,0,0,0,0,1
"292",91301,2005,2458,825,1633,17.7,13890
"293",91302,2005,2810,875,1935,16.36,17172
"294",91303,2005,709,200,509,5.84,12149
"295",91304,2005,770,190,580,4.72,16330
"296",91305,2005,0,0,0,0,223
"297",91306,2005,117,0,117,3.47,3376
"298",91307,2005,140,24,116,2.2,6373
"299",91308,2005,0,0,0,0,19
"300",91309,2005,0,0,0,0,421
"301",91310,2005,0,0,0,0,97
"302",91311,2005,3770,1396,2374,9.49,39706
"303",91313,2005,0,0,0,0,380
"304",91316,2005,943,348,595,11.07,8518
"305",91321,2005,380,125,255,4.05,9376
"306",91322,2005,0,0,0,0,428
"307",91324,2005,719,145,574,3.76,19142
"308",91325,2005,242,60,182,3.99,6071
"309",91326,2005,324,47,277,10.49,3090
"310",91327,2005,0,0,0,0,18
"311",91328,2005,0,0,0,0,1701
"312",91330,2005,0,0,0,0,5038
"313",91331,2005,441,29,412,3.43,12874
"314",91333,2005,0,0,0,0,24
"315",91334,2005,0,0,0,0,18
"316",91335,2005,273,0,273,3.12,8736
"317",91337,2005,0,0,0,0,45
"318",91340,2005,401,172,229,3.26,12313
"319",91341,2005,0,0,0,0,285
"320",91342,2005,420,47,373,2.29,18343
"321",91343,2005,367,144,223,4.14,8874
"322",91344,2005,431,72,359,5.4,7981
"323",91345,2005,249,0,249,4.15,6000
"324",91346,2005,0,0,0,0,123
"325",91350,2005,419,45,374,5.11,8199
"326",91351,2005,257,0,257,3.06,8393
"327",91352,2005,677,71,606,3.49,19396
"328",91353,2005,0,0,0,0,548
"329",91354,2005,18,0,18,1.9,947
"330",91355,2005,3959,762,3197,8.83,44842
"331",91356,2005,1395,173,1222,9.58,14567
"332",91357,2005,17,0,17,7.56,225
"333",91361,2005,2734,675,2059,18.1,15106
"334",91362,2005,3234,1153,2081,16.71,19350
"335",91364,2005,1826,402,1424,9.55,19121
"336",91365,2005,0,0,0,0,161
"337",91367,2005,4957,2247,2710,14.7,33727
"338",91372,2005,0,0,0,0,3
"339",91376,2005,0,0,0,0,5
"340",91380,2005,0,0,0,0,1120
"341",91381,2005,104,12,92,2.52,4119
"342",91384,2005,0,0,0,0,2097
"343",91385,2005,0,0,0,0,110
"344",91386,2005,0,0,0,0,90
"345",91387,2005,91,28,63,5.87,1550
"346",91390,2005,46,0,46,7.15,643
"347",91392,2005,0,0,0,0,2074
"348",91393,2005,0,0,0,0,57
"349",91394,2005,0,0,0,0,3
"350",91401,2005,335,42,293,4.03,8309
"351",91402,2005,328,152,176,2.93,11181
"352",91403,2005,3028,1328,1700,22.03,13744
"353",91404,2005,26,0,26,44.07,59
"354",91405,2005,1188,0,1188,8.4,14141
"355",91406,2005,2468,662,1806,9.71,25422
"356",91407,2005,0,0,0,0,4
"357",91408,2005,0,0,0,0,135
"358",91409,2005,0,0,0,0,754
"359",91410,2005,0,0,0,0,19
"360",91411,2005,1043,373,670,11.07,9420
"361",91412,2005,0,0,0,0,110
"362",91413,2005,0,0,0,0,162
"363",91416,2005,0,0,0,0,133
"364",91423,2005,2036,315,1721,18.56,10969
"365",91426,2005,0,0,0,0,33
"366",91436,2005,6347,457,5890,32.74,19388
"367",91501,2005,35,0,35,2.33,1505
"368",91502,2005,19833,18540,1293,59.13,33539
"369",91503,2005,0,0,0,0,427
"370",91504,2005,1214,0,1214,2.6,46756
"371",91505,2005,8762,7116,1646,31.65,27687
"372",91506,2005,856,266,590,10.81,7917
"373",91507,2005,0,0,0,0,47
"374",91508,2005,0,0,0,0,2
"375",91510,2005,248,248,0,21.6,1148
"376",91521,2005,5972,5900,72,72.41,8247
"377",91522,2005,6094,6094,0,95.4,6388
"378",91523,2005,1186,1186,0,93.17,1273
"379",91601,2005,1526,1090,436,20.29,7521
"380",91602,2005,677,232,445,16.53,4095
"381",91603,2005,0,0,0,0,348
"382",91604,2005,1441,688,753,14.3,10080
"383",91605,2005,679,304,375,3.92,17330
"384",91606,2005,560,196,364,6.16,9085
"385",91607,2005,717,334,383,14.12,5077
"386",91608,2005,10086,9930,156,76.39,13203
"387",91609,2005,0,0,0,0,69
"388",91610,2005,0,0,0,0,10
"389",91614,2005,0,0,0,0,68
"390",91615,2005,0,0,0,0,2
"391",91616,2005,0,0,0,0,40
"392",91618,2005,0,0,0,0,2
"393",91702,2005,242,54,188,1.42,17098
"394",91706,2005,2016,1445,571,5.89,34212
"395",91709,2005,335,43,292,4.22,7942
"396",91710,2005,828,297,531,2.08,39764
"397",91711,2005,1009,51,958,7.48,13495
"398",91714,2005,0,0,0,0,362
"399",91715,2005,0,0,0,0,1155
"400",91716,2005,0,0,0,0,236
"401",91722,2005,202,0,202,2.9,6971
"402",91723,2005,383,161,222,3.73,10268
"403",91724,2005,223,9,214,4.33,5150
"404",91731,2005,1062,188,874,5.65,18791
"405",91732,2005,102,0,102,1.7,6015
"406",91733,2005,484,57,427,2.34,20643
"407",91734,2005,0,0,0,0,1235
"408",91740,2005,328,92,236,2.91,11277
"409",91741,2005,270,14,256,6.25,4318
"410",91744,2005,265,0,265,1.99,13319
"411",91745,2005,1699,303,1396,9.01,18864
"412",91746,2005,520,71,449,3.21,16214
"413",91747,2005,0,0,0,0,1175
"414",91748,2005,1316,372,944,4.98,26449
"415",91749,2005,0,0,0,0,1376
"416",91750,2005,443,92,351,3.81,11632
"417",91754,2005,1788,720,1068,8.71,20529
"418",91755,2005,53,7,46,2.29,2314
"419",91759,2005,0,0,0,0,53
"420",91765,2005,1485,585,900,11.49,12925
"421",91766,2005,311,0,311,1.84,16876
"422",91767,2005,111,0,111,0.91,12217
"423",91768,2005,411,67,344,2.63,15653
"424",91769,2005,9,0,9,0.21,4213
"425",91770,2005,490,134,356,3.04,16133
"426",91773,2005,1322,0,1322,6.05,21869
"427",91775,2005,128,0,128,5.46,2345
"428",91776,2005,446,25,421,4.08,10939
"429",91778,2005,0,0,0,0,103
"430",91780,2005,247,61,186,4.92,5020
"431",91788,2005,0,0,0,0,427
"432",91789,2005,1394,427,967,6.05,23040
"433",91790,2005,1265,145,1120,8.68,14579
"434",91791,2005,366,28,338,4.13,8856
"435",91792,2005,28,0,28,0.58,4801
"436",91793,2005,0,0,0,0,149
"437",91801,2005,1756,874,882,11.62,15113
"438",91802,2005,0,0,0,0,282
"439",91803,2005,465,65,400,5.54,8396
"440",92397,2005,8,0,8,1.84,435
"441",92821,2005,1722,344,1378,6.09,28271
"442",92823,2005,65,0,65,2.5,2603
"443",93243,2005,0,0,0,0,1156
"444",93510,2005,35,3,32,2.45,1431
"445",93523,2005,216,0,216,29.31,737
"446",93532,2005,0,0,0,0,277
"447",93534,2005,830,153,677,3.83,21663
"448",93535,2005,373,107,266,4.08,9138
"449",93536,2005,46,0,46,0.5,9230
"450",93539,2005,0,0,0,0,1254
"451",93543,2005,0,0,0,0,1043
"452",93544,2005,0,0,0,0,201
"453",93550,2005,733,367,366,5.43,13488
"454",93551,2005,395,217,178,4.06,9737
"455",93552,2005,16,0,16,1.38,1158
"456",93553,2005,0,0,0,0,263
"457",93560,2005,37,0,37,3.05,1214
"458",93563,2005,0,0,0,0,26
"459",93584,2005,0,0,0,0,18
"460",93586,2005,0,0,0,0,2
"461",93590,2005,0,0,0,0,304
"462",93591,2005,0,0,0,0,294
"463",90001,2006,95,0,95,1.18,8078
"464",90002,2006,0,0,0,0,1306
"465",90003,2006,95,0,95,2.14,4449
"466",90004,2006,866,367,499,12.57,6890
"467",90005,2006,600,388,212,15.08,3978
"468",90006,2006,441,30,411,5.27,8372
"469",90007,2006,504,76,428,3.74,13492
"470",90008,2006,167,113,54,5.93,2815
"471",90009,2006,0,0,0,0,4289
"472",90010,2006,5601,1223,4378,17.47,32063
"473",90011,2006,93,0,93,0.95,9812
"474",90012,2006,5697,4603,1094,3.77,151208
"475",90013,2006,1016,107,909,6.9,14724
"476",90014,2006,880,45,835,6.38,13799
"477",90015,2006,1386,768,618,4.18,33154
"478",90016,2006,1417,271,1146,14.92,9497
"479",90017,2006,13684,1975,11709,34.74,39393
"480",90018,2006,178,0,178,4.44,4010
